symbol,GPT-core-ensemble,GPT-disagreement-ensemble,GPT-enhanced-ensemble,GPT-full-ensemble,GPT-hybrid-ensemble
AAPL,UP,UP,UP,UP,UP
ABBV,UP,UP,UP,UP,UP
ABNB,DOWN,UP,DOWN,UP,UP
ABT,UP,UP,UP,UP,UP
AEP,UP,UP,UP,UP,UP
AMAT,UP,UP,UP,UP,UP
AMD,UP,UP,UP,UP,UP
AMGN,UP,UP,UP,UP,UP
AMT,UP,UP,UP,UP,UP
AMZN,UP,UP,UP,UP,UP
APD,DOWN,DOWN,DOWN,DOWN,DOWN
AVGO,UP,UP,UP,UP,UP
AXP,UP,UP,UP,UP,UP
BA,UP,UP,UP,UP,UP
BAC,UP,UP,UP,UP,UP
BKNG,UP,UP,UP,UP,DOWN
BLK,UP,UP,UP,UP,UP
C,UP,UP,UP,UP,UP
CAT,DOWN,DOWN,DOWN,DOWN,DOWN
CB,DOWN,DOWN,DOWN,DOWN,UP
CEG,UP,UP,UP,UP,UP
COF,UP,UP,UP,UP,DOWN
COP,UP,UP,UP,UP,UP
COST,UP,UP,UP,UP,UP
CSCO,UP,UP,UP,UP,UP
CVX,UP,UP,DOWN,UP,UP
DE,DOWN,DOWN,DOWN,DOWN,DOWN
DHR,UP,UP,UP,UP,UP
DLR,UP,UP,UP,UP,UP
DUK,UP,UP,UP,UP,UP
ECL,UP,UP,UP,UP,UP
EQIX,UP,UP,UP,UP,UP
ETN,UP,UP,UP,UP,UP
FCX,UP,UP,UP,UP,UP
FDX,DOWN,DOWN,DOWN,DOWN,DOWN
GE,UP,UP,UP,UP,UP
GEV,UP,UP,UP,UP,UP
GILD,UP,UP,DOWN,UP,UP
GOOGL,UP,UP,UP,UP,UP
GS,UP,UP,UP,UP,UP
HD,DOWN,DOWN,DOWN,DOWN,UP
HON,UP,UP,UP,UP,UP
HWM,UP,UP,UP,UP,UP
INTC,DOWN,DOWN,DOWN,DOWN,DOWN
ISRG,UP,UP,UP,UP,UP
JNJ,UP,UP,UP,UP,UP
JPM,DOWN,UP,DOWN,DOWN,DOWN
KLAC,UP,UP,UP,UP,UP
KO,DOWN,UP,DOWN,DOWN,UP
LIN,DOWN,UP,DOWN,DOWN,DOWN
LLY,UP,UP,UP,UP,UP
LMT,UP,UP,UP,UP,UP
LOW,UP,UP,UP,UP,UP
LRCX,UP,UP,UP,UP,UP
MA,UP,UP,UP,UP,UP
MAR,DOWN,DOWN,DOWN,DOWN,DOWN
MCD,DOWN,DOWN,DOWN,DOWN,DOWN
META,DOWN,UP,DOWN,UP,UP
MO,DOWN,UP,DOWN,DOWN,DOWN
MRK,DOWN,UP,UP,DOWN,DOWN
MS,UP,UP,UP,UP,UP
MSFT,UP,UP,UP,UP,UP
MU,UP,UP,UP,UP,UP
NEE,UP,UP,UP,UP,UP
NEM,UP,UP,UP,UP,UP
NFLX,UP,UP,UP,UP,UP
NVDA,UP,UP,UP,UP,UP
ORCL,UP,UP,UP,UP,UP
PEP,DOWN,DOWN,DOWN,DOWN,DOWN
PFE,UP,UP,UP,UP,UP
PG,DOWN,DOWN,DOWN,DOWN,DOWN
PH,UP,UP,UP,UP,UP
PLD,DOWN,UP,DOWN,UP,UP
PLTR,UP,UP,UP,UP,UP
PM,UP,UP,UP,UP,UP
PWR,UP,UP,UP,UP,UP
RTX,UP,UP,UP,UP,UP
SBUX,DOWN,DOWN,DOWN,DOWN,DOWN
SCHW,UP,UP,UP,UP,UP
SHW,UP,UP,UP,UP,UP
SO,UP,UP,UP,UP,UP
SPG,UP,UP,UP,DOWN,DOWN
SPGI,UP,UP,UP,UP,DOWN
SRE,UP,UP,UP,UP,UP
SYK,UP,UP,UP,UP,UP
TJX,DOWN,UP,UP,DOWN,DOWN
TMO,DOWN,DOWN,DOWN,DOWN,DOWN
TMUS,UP,UP,UP,UP,UP
TSLA,DOWN,DOWN,DOWN,DOWN,UP
TT,UP,UP,UP,UP,UP
TXN,UP,UP,UP,UP,UP
UBER,UP,UP,UP,UP,DOWN
UNH,DOWN,DOWN,DOWN,DOWN,DOWN
UNP,UP,DOWN,UP,UP,UP
V,UP,UP,UP,UP,UP
WELL,UP,UP,UP,UP,UP
WFC,UP,UP,DOWN,UP,DOWN
WMB,UP,UP,UP,UP,UP
WMT,UP,UP,UP,UP,UP
XOM,UP,UP,UP,UP,UP
