symbol,GPT-core-ensemble,GPT-disagreement-ensemble,GPT-enhanced-ensemble,GPT-full-ensemble,GPT-hybrid-ensemble
AAPL,FLAT,UP,UP,UP,UP
ABBV,UP,UP,UP,UP,UP
ABNB,FLAT,FLAT,FLAT,FLAT,FLAT
ABT,UP,UP,UP,UP,UP
AEP,UP,UP,UP,UP,FLAT
AMAT,UP,UP,UP,UP,FLAT
AMD,UP,UP,UP,UP,UP
AMGN,UP,UP,UP,UP,FLAT
AMT,UP,UP,UP,UP,UP
AMZN,UP,UP,UP,UP,UP
APD,DOWN,DOWN,DOWN,DOWN,FLAT
AVGO,UP,UP,UP,UP,UP
AXP,FLAT,FLAT,FLAT,FLAT,FLAT
BA,UP,UP,FLAT,FLAT,UP
BAC,UP,UP,FLAT,FLAT,FLAT
BKNG,UP,UP,UP,UP,UP
BLK,UP,UP,UP,UP,UP
C,UP,UP,FLAT,FLAT,FLAT
CAT,FLAT,FLAT,FLAT,FLAT,FLAT
CB,FLAT,FLAT,FLAT,FLAT,FLAT
CEG,FLAT,UP,FLAT,FLAT,FLAT
COF,FLAT,UP,FLAT,FLAT,FLAT
COP,UP,FLAT,UP,FLAT,FLAT
COST,UP,UP,UP,UP,UP
CSCO,UP,UP,UP,UP,FLAT
CVX,FLAT,FLAT,FLAT,FLAT,FLAT
DE,DOWN,DOWN,DOWN,FLAT,FLAT
DHR,UP,UP,UP,UP,UP
DLR,UP,UP,UP,UP,UP
DUK,UP,UP,UP,UP,FLAT
ECL,FLAT,UP,FLAT,FLAT,FLAT
EQIX,UP,UP,UP,UP,UP
ETN,UP,UP,UP,UP,UP
FCX,UP,UP,UP,UP,FLAT
FDX,DOWN,DOWN,DOWN,DOWN,DOWN
GE,UP,UP,UP,UP,UP
GEV,UP,UP,UP,UP,UP
GILD,FLAT,FLAT,FLAT,FLAT,FLAT
GOOGL,UP,UP,UP,UP,UP
GS,UP,UP,UP,UP,UP
HD,FLAT,FLAT,FLAT,FLAT,FLAT
HON,UP,UP,UP,UP,UP
HWM,UP,UP,UP,UP,UP
INTC,FLAT,DOWN,FLAT,FLAT,FLAT
ISRG,UP,UP,UP,UP,UP
JNJ,UP,UP,UP,UP,UP
JPM,FLAT,FLAT,FLAT,FLAT,FLAT
KLAC,UP,UP,UP,UP,FLAT
KO,FLAT,FLAT,FLAT,FLAT,FLAT
LIN,FLAT,FLAT,FLAT,FLAT,FLAT
LLY,UP,UP,UP,UP,FLAT
LMT,UP,UP,UP,UP,UP
LOW,FLAT,UP,FLAT,FLAT,FLAT
LRCX,UP,UP,UP,UP,UP
MA,UP,UP,UP,UP,UP
MAR,FLAT,DOWN,DOWN,FLAT,FLAT
MCD,FLAT,FLAT,FLAT,FLAT,FLAT
META,UP,UP,FLAT,UP,FLAT
MO,FLAT,FLAT,FLAT,FLAT,FLAT
MRK,FLAT,FLAT,FLAT,FLAT,FLAT
MS,UP,UP,UP,UP,UP
MSFT,UP,UP,UP,UP,UP
MU,UP,UP,UP,UP,DOWN
NEE,UP,UP,UP,UP,UP
NEM,UP,UP,FLAT,FLAT,FLAT
NFLX,FLAT,UP,FLAT,FLAT,FLAT
NVDA,UP,UP,UP,UP,UP
ORCL,UP,UP,UP,UP,UP
PEP,DOWN,DOWN,DOWN,DOWN,DOWN
PFE,UP,UP,UP,UP,DOWN
PG,FLAT,DOWN,FLAT,FLAT,FLAT
PH,UP,UP,UP,UP,UP
PLD,FLAT,FLAT,FLAT,FLAT,FLAT
PLTR,UP,UP,UP,UP,UP
PM,UP,UP,UP,UP,UP
PWR,UP,UP,UP,UP,UP
RTX,UP,UP,UP,UP,UP
SBUX,DOWN,DOWN,DOWN,DOWN,DOWN
SCHW,UP,UP,UP,UP,UP
SHW,FLAT,FLAT,FLAT,FLAT,FLAT
SO,UP,UP,FLAT,FLAT,FLAT
SPG,FLAT,FLAT,FLAT,FLAT,FLAT
SPGI,FLAT,FLAT,FLAT,FLAT,FLAT
SRE,FLAT,UP,FLAT,FLAT,FLAT
SYK,UP,UP,UP,UP,UP
TJX,UP,UP,UP,UP,FLAT
TMO,DOWN,FLAT,DOWN,FLAT,FLAT
TMUS,UP,UP,UP,UP,UP
TSLA,FLAT,DOWN,FLAT,FLAT,FLAT
TT,UP,UP,UP,UP,FLAT
TXN,UP,UP,UP,FLAT,FLAT
UBER,UP,UP,FLAT,FLAT,FLAT
UNH,DOWN,DOWN,DOWN,DOWN,DOWN
UNP,FLAT,FLAT,FLAT,FLAT,FLAT
V,UP,UP,UP,UP,UP
WELL,UP,UP,UP,UP,UP
WFC,FLAT,UP,FLAT,FLAT,FLAT
WMB,UP,UP,UP,UP,UP
WMT,UP,UP,UP,UP,UP
XOM,FLAT,UP,DOWN,FLAT,FLAT
